C-h m           describe-mode
C-h i           general help
C-h k           describe-key
C-h f           describe-function
C-h b           describe-bindings (all of them)
C-h w           command-name
C-h t           start tutorial

C-n             next-line
C-p             previous-line
C-l             recenter-top-bottom
C-e             move-end-of-line
M-e             move-end-of-paragraph
C-a             custom-move-beginning-of-line
M-a             backward-sentence
M-b             backward-word
M-f             forward-word
M->             end of buffer
C-v             next page
M-v             prev page

s-`             other-frame (switch between frames)

C-c d           custom-duplicate-line

M-w             kill-ring-save
M-k             kill-sentence
M-y             yank-pop

M-@             mark-word
C-SPC           set-mark-command
C-u C-SPC       previous mark
s-j             exchange-point-and-mark
C-c C-<         mc/mark-all-like-this

C-c k           kill-whole-line
C-w             kill-region

C-c p f         projectile-find-file
C-c g           custom-git-grep

C-x b           switch-to-buffer
C-x h           mark-whole-buffer
C-x k           kill-buffer
C-x +           balance-windows

C-x z           repeat

C-/             undo-tree-undo
M-_             undo-tree-redo

C-c b           magit-blame-mode

s-'             next-multiframe-window
C-x 0           delete-window
C-x 1           delete-other-windows
C-x 2           split-window-below
C-x 3           split-window-right

C-r             isearch-backward-regexp
C-s             isearch-forward-regexp

C-x C-t         transpose-lines
C-x C-u         upcase-region
M-t             transpose-words
M-u             upcase-word

M-digit         repeat next command digit times
C-u             repeat next command 4 times (twice to repeat 16 times, 3 times for 64)

Code Editing

M-;             comment region
M-.             meghanada-jump-declaration
M-,             meghanada-back-jump

C = control
s = option
M = command
