C-n             next-line
C-p             previous-line
C-e             move-end-of-line
C-a             custom-move-beginning-of-line
M-a             backward-sentence
M-b             backward-word

C-c d           custom-duplicate-line

M-w             kill-ring-save
M-k             kill-sentence
M-y             yank-pop

M-@             mark-word
C-SPC           set-mark-command
s-j             exchange-point-and-mark
C-c C-<         mc/mark-all-like-this

C-c k           kill-whole-line
C-w             kill-region

C-c p f         projectile-find-file
C-c g           custom-git-grep

C-x b           switch-to-buffer
C-x h           mark-whole-buffer
C-x k           kill-buffer
C-x +           balance-windows

C-x z           repeat

C-/             undo-tree-undo
M-_             undo-tree-redo

C-c b           magit-blame-mode

s-'             next-multiframe-window
C-x 0           delete-window
C-x 1           delete-other-windows
C-x 2           split-window-below
C-x 3           split-window-right

C-r             isearch-backward-regexp
C-s             isearch-forward-regexp

C-x C-t         transpose-lines
C-x C-u         upcase-region
M-t             transpose-words
M-u             upcase-word


C = control
s = option
M = command
